name;h;b;s;t;r1;r2;A;m;Jy;Wy;iy;Sy;Jz;Wz;iz;parea;Perimeter
14;140;73;4.9;7.5;8;3;17.4;13.7;572;81.7;5.73;46.8;41.9;11.5;1.55;0.53;534.00
16;160;81;5;7.8;8.5;3.5;20.2;15.9;873;109;6.57;62.3;58.6;14.5;1.7;0.60;603.00
18;180;90;5.1;8.1;9;3.5;23.4;18.4;1290;143;7.42;81.4;82.6;18.4;1.88;0.68;676.70
20;200;100;5.2;8.4;9.5;4;26.8;21;1840;184;8.28;104;115;23.1;2.07;0.75;753.30
30;300;135;6.5;10.2;12;5;46.5;36.5;7080;472;12.3;268;337;49.9;2.69;1.08;1079.50
36;360;145;7.5;12.3;14;6;61.9;48.6;13380;743;14.7;423;516;71.1;2.89;1.23;1231.70
45;450;160;9;14.2;16;7;84.7;66.5;27696;1231;18.1;708;808;101;3.09;1.46;1462.10
24M;240;110;8.2;14;10.5;4;48.7;38.3;4640;387;9.75;223;276;50.2;2.38;0.87;865.10
36M;360;130;9.5;16;14;6;73.8;57.9;15340;852;14.4;493;518;79.7;2.65;1.17;1171.60
45M;450;150;10.5;18;16;7;98.8;77.6;31900;1420;18;821;892;119;3;1.42;1421.90
