name;h;s;r1;r2;A;Jy;Wy;iy;P;parea;Perimeter
60*60*4;60;4;4;4;8.79;45.4;15.1;2.27;6.9;0.2331;233.1327
60*60*5;60;5;7.5;5;10.7;53.3;17.8;2.23;8.42;0.2271;227.1239
60*60*6;60;6;9;6;12.6;59.9;20;2.18;9.87;0.2245;224.5487
60*60*8;60;8;12;8;16;69.7;23.2;2.09;12.5;0.2194;219.3982
80*80*4;80;4;6;4;12;114;28.6;3.09;9.41;0.3097;309.6991
80*80*5;80;5;7.5;5;14.7;137;34.2;3.05;11.6;0.3071;307.1239
80*80*6;80;6;9;6;17.4;156;39.1;3;13.6;0.3045;304.5487
80*80*8;80;8;12;8;22.4;189;47.3;2.91;17.5;0.2994;299.3982
100*100*4;100;4;6;4;15.2;232;46.4;3.91;11.9;0.3897;389.6991
100*100*5;100;5;7.5;5;18.7;279;55.9;3.86;14.7;0.3871;387.1239
100*100*6;100;6;9;6;22.2;323;64.6;3.82;17.4;0.3845;384.5487
120*120*4;120;4;6;4;18.4;410;68.4;4.72;14.4;0.4697;469.6991
120*120*5;120;5;7.5;5;22.7;498;83;4.68;17.8;0.4671;467.1239
120*120*6;120;6;9;6;27;579;96.6;4.63;21.2;0.4645;464.5487
120*120*8;120;8;12;8;35.2;726;121;4.55;27.6;0.4594;459.3982
140*140*4;140;4;8;4;21.3;652;93.1;5.52;16.8;0.5463;546.2655
140*140*5;140;5;7.5;5;26.7;807;115;5.5;21;0.5471;547.1239
140*140*6;140;6;9;6;31.8;944;135;5.45;24.9;0.5445;544.5487
140*140*8;140;8;12;8;41.6;1195;171;5.36;32.6;0.5394;539.3982
140*140*10;140;10;15;10;50.9;1416;202;5.27;40;0.5342;534.2478
160*160*8;160;8;12;8;48;1831;229;6.18;37.6;0.6194;619.3982
180*180*5;180;5;7.5;5;34.7;1765;196;7.13;27.3;0.7071;707.1239
180*180*6;180;6;9;6;41.4;2077;231;7.09;32.5;0.7045;704.5487
200*200*5;200;5;7.5;5;38.7;2445;245;7.95;30.4;0.7871;787.1239
200*200*6;200;6;9;6;46.2;2883;288;7.9;36.2;0.7845;784.5487
200*200*8;200;8;12;8;60.8;3709;371;7.81;47.7;0.7794;779.3982
200*200*10;200;10;15;10;74.9;4471;447;7.72;58.8;0.7742;774.2478
