name;h;b;s;r1;A;Jz;Wz;iz;Jy;Wy;iy;P;parea;Perimeter
30*20*2;30;20;2;3;1.77;1.05;1.05;0.77;2.01;1.34;1.07;1.39;0.0948;94.8
40*20*2;40;20;2;3;2.17;1.37;1.37;0.8;4.18;2.09;1.39;1.7;0.1148;114.8
40*25*2;40;25;2;3;2.37;2.33;1.86;0.99;4.9;2.45;1.44;1.86;0.1248;124.8
40*25*3;40;25;3;4.5;3.38;3.04;2.43;0.95;6.53;3.26;1.39;2.66;0.1223;122.3
40*25*4;40;25;4;6;4.28;3.51;2.81;0.91;7.67;3.83;1.34;3.36;0.1197;119.7
40*30*2;40;30;2;3;2.57;3.58;2.39;1.18;5.63;2.81;1.48;2.02;0.1348;134.8
50*25*3;50;25;3;4.5;3.98;3.77;3.02;0.97;11.63;4.65;1.71;3.13;0.1423;142.3
50*25*4;50;25;4;6;5.08;4.4;3.52;0.93;13.93;5.57;1.66;3.99;0.1397;139.7
50*30*2;50;30;2;3;2.97;4.36;2.91;1.21;9.74;3.9;1.81;2.32;0.1548;154.8
50*30*3;50;30;3;4.5;4.28;5.86;3.9;1.17;13.29;5.32;1.76;3.36;0.1523;152.3
50*30*4;50;30;4;6;5.48;6.96;4.64;1.13;16.05;6.42;1.71;4.3;0.1497;149.7
60*30*2;60;30;2;3;3.37;5.15;3.43;1.24;15.35;5.12;2.13;2.65;0.1748;174.8
60*30*3;60;30;3;4.5;4.81;6.8;4.53;1.19;20.5;6.83;2.06;3.83;0.1723;172.3
60*30*4;60;30;4;6;6.28;8.32;5.55;1.15;25.88;8.63;2.03;4.93;0.1697;169.7
60*40*2;60;40;2;3;3.77;9.97;4.99;1.63;18.72;6.24;2.23;2.96;0.1948;194.8
60*40*3;60;40;3;4.5;5.48;13.73;6.86;1.58;26.05;8.68;2.18;4.3;0.1923;192.3
60*40*4;60;40;4;6;7.08;16.78;8.39;1.54;32.16;10.72;2.13;5.56;0.1897;189.7
80*40*2;80;40;2;3;4.57;12.86;6.43;1.68;37.9;9.48;2.88;3.59;0.2348;234.8
80*40*3;80;40;3;4.5;6.68;17.84;8.92;1.63;53.46;13.36;2.83;5.25;0.2323;232.3
