name;h;s;r1;A;Jy;Wy;iy;P;parea;Perimeter
20*2;20;2;4;1.43;0.784;0.787;0.74;1.13;0.073;73.13
25*2;25;2;4;1.83;1.63;1.3;0.94;1.44;0.093;93.13
30*2;30;2;4;2.23;2.94;1.96;1.15;1.76;0.113;113.13
40*2;40;2;4;2.94;6.94;3.47;1.54;2.31;0.153;153.13
40*3;40;3;6;4.21;9.31;4.65;1.49;3.3;0.150;149.70
40*4;40;4;8;5.35;11.05;5.52;1.44;4.2;0.146;146.27
50*2;50;2;4;3.74;14.14;5.66;1.94;2.93;0.193;193.13
50*3;50;3;6;5.41;19.45;7.78;1.90;4.25;0.190;189.70
50*4;50;4;8;6.95;23.7;9.48;1.85;5.45;0.186;186.27
60*2;60;2;4;4.54;25.14;8.38;2.35;3.56;0.233;233.13
60*3;60;3;6;6.61;35.11;11.7;2.30;5.19;0.230;229.70
60*4;60;4;8;8.55;43.5;14.5;2.26;6.71;0.226;226.27
80*3;80;3;6;9.01;87.81;21.95;3.12;7.07;0.310;309.70
80*4;80;4;8;11.75;111;27.74;3.07;9.22;0.306;306.27
80*5;80;5;10;14.36;131.3;32.83;3.02;11.27;0.303;302.83
100*3;100;3;6;11.41;177;35.4;3.94;8.96;0.390;389.70
100*4;100;4;8;14.95;225.1;45.02;3.88;11.73;0.386;386.27
100*5;100;5;10;18.36;270.9;54.19;3.84;14.41;0.383;382.83
120*3;120;3;6;13.81;312.3;52.05;4.76;10.84;0.470;469.70
120*4;120;4;8;18.15;402.2;67.03;4.71;14.25;0.466;466.27
120*5;120;5;10;22.36;485.3;80.88;4.66;17.55;0.463;462.83
140*4;140;4;8;21.35;651.5;93.07;5.52;16.76;0.546;546.27
140*5;140;5;10;26.36;790.3;112.9;5.48;20.69;0.543;542.83
140*6;140;6;12;31.23;920;131.4;5.43;24.52;0.539;539.40
160*4;160;4;8;24.55;987;123.4;6.34;19.27;0.626;626.27
160*5;160;5;10;30.36;1202;150.3;6.29;23.83;0.623;622.83
160*6;160;6;12;36.03;1405;175.6;6.24;28.29;0.619;619.40
200*4;200;4;8;30.7;1940;194;7.95;24.1;0.786;786.27
200*5;200;5;10;37.9;2367;237;7.90;29.8;0.783;782.83
200*6;200;6;12;45;2770;277;7.85;35.3;0.779;779.40
